Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].P 	 vectorElement[i].P_Correction 	 vectorElement[i].U_x 	 vectorElement[i].U_x_Correction 	 vectorElement[i].U_y 	 vectorElement[i].U_y_Correction 	 
-0.7924403591 	 0.4787159401 	 0.1987101634 	 -0.5291331012 	 -0.4755046455 	 -0.0005491630 	 -0.7868806688 	 0.0002858507 	 
-0.1601019123 	 0.1927645904 	 0.1013143864 	 0.4025773537 	 -0.0732891010 	 -0.0001893252 	 -0.0609922851 	 -0.0002804184 	 
-0.4590632771 	 -0.0503115298 	 0.1163944654 	 0.3096020854 	 0.0426720842 	 -0.0001075006 	 -0.3886016605 	 -0.0000857634 	 
0.2740547555 	 0.0914385298 	 0.1406899995 	 0.5509284006 	 -0.0492430259 	 0.0003035082 	 0.1486595748 	 -0.0000971749 	 
0.1686525132 	 0.8935054413 	 0.1928043418 	 -0.4930322279 	 -0.8855664655 	 0.0001659864 	 0.1673727287 	 0.0005897675 	 
-0.4724761226 	 -0.0773442888 	 0.1182349739 	 0.2937455843 	 0.0665817632 	 -0.0001427115 	 -0.4062538265 	 -0.0000449944 	 
0.0776199834 	 0.2926659650 	 0.1466832579 	 0.5696465596 	 -0.1717229634 	 0.0000171286 	 0.0458884611 	 0.0003491755 	 
-0.6003237234 	 0.7042473381 	 0.1882910065 	 -0.5692757538 	 -0.6995346201 	 -0.0003626938 	 -0.5959932353 	 0.0004135966 	 
-0.8940276776 	 -0.3256473273 	 0.1954441830 	 -0.6375171250 	 0.3242171071 	 -0.0005003485 	 -0.8901942560 	 -0.0002355178 	 
-0.4012922815 	 -0.1705529653 	 0.1104370238 	 0.3180402878 	 0.1403554708 	 -0.0000114495 	 -0.3300915574 	 -0.0000520804 	 
-0.5768242011 	 0.7224246838 	 0.1843522738 	 -0.5816205931 	 -0.7172608410 	 -0.0002646203 	 -0.5725849807 	 0.0005727991 	 
0.7067484661 	 0.6229679354 	 0.1948337203 	 -0.6048014838 	 -0.6195296499 	 0.0003922860 	 0.7030632865 	 0.0003957191 	 
0.1652727165 	 -0.9066721281 	 0.1932547818 	 -0.5356538057 	 0.8998987135 	 0.0000017006 	 0.1639746431 	 -0.0005945454 	 
0.6500690705 	 -0.7136301569 	 0.2016219422 	 -0.6654669525 	 0.7115930438 	 0.0004250859 	 0.6481313992 	 -0.0004754456 	 
0.8848682668 	 0.2857231077 	 0.1903757971 	 -0.5772670053 	 -0.2838302630 	 0.0007921157 	 0.8789532103 	 0.0001969780 	 
0.6885666172 	 -0.6791082109 	 0.2012527094 	 -0.6738112911 	 0.6772605499 	 0.0004367506 	 0.6866098913 	 -0.0004134316 	 
0.2872648207 	 0.0105898250 	 0.0823002817 	 0.3178557238 	 -0.0056577919 	 0.0000929381 	 0.1544728469 	 -0.0001134032 	 
-0.4538776324 	 -0.1009050242 	 0.1158076451 	 0.3030641865 	 0.0857580880 	 -0.0001101452 	 -0.3853364960 	 -0.0000428273 	 
-0.0808325011 	 -0.2437693769 	 0.1269887285 	 0.5042896610 	 0.0999594411 	 -0.0000160230 	 -0.0335113025 	 -0.0000048391 	 
-0.5729703874 	 0.7522698812 	 0.1904824145 	 -0.6353170623 	 -0.7484841521 	 -0.0003124062 	 -0.5699701072 	 0.0005603666 	 
-0.0757506932 	 -0.2710414380 	 0.0969910493 	 0.3785227233 	 0.1398613992 	 -0.0001595364 	 -0.0394063298 	 -0.0002928663 	 
0.4433204046 	 -0.8351119512 	 0.2082755228 	 -0.5636295783 	 0.8310648493 	 0.0003902077 	 0.4411439293 	 -0.0005144421 	 
-0.6295832400 	 0.7083374642 	 0.1962551205 	 -0.6199748325 	 -0.7051131730 	 -0.0004267006 	 -0.6265663326 	 0.0004472442 	 
0.2458738971 	 0.0916688765 	 0.1268782862 	 0.5028076981 	 -0.0402077397 	 0.0002491232 	 0.1066964177 	 -0.0006744079 	 
-0.0604490437 	 -0.2247646343 	 0.0954819259 	 0.3811166067 	 0.0620111998 	 0.0001101198 	 -0.0175157456 	 -0.0005610998 	 
-0.2905692400 	 -0.0734952415 	 0.0823744227 	 0.3136642687 	 0.0426641311 	 0.0001171985 	 -0.1678510343 	 -0.0001356999 	 
0.7266835147 	 -0.5664395857 	 0.1936162635 	 -0.5333276882 	 0.5620604842 	 0.0003174449 	 0.7213111433 	 -0.0003320464 	 
-0.3061493208 	 -0.0523087925 	 0.0892212831 	 0.3363683446 	 0.0320577147 	 0.0000181400 	 -0.1868315392 	 -0.0001785428 	 
0.1971240314 	 -0.9029133001 	 0.1981999979 	 -0.5252176837 	 0.8964597484 	 0.0000910680 	 0.1955791149 	 -0.0006703571 	 
0.9612870413 	 -0.1030264272 	 0.1826506483 	 -0.7469773076 	 0.1026775857 	 0.0007383843 	 0.9586124895 	 -0.0000489877 	 
0.9642182371 	 -0.0490050875 	 0.1790590655 	 -0.7562363154 	 0.0489764798 	 0.0006676004 	 0.9612873352 	 -0.0000994265 	 
-0.9829087647 	 0.0516977351 	 0.1948546166 	 -0.7660630888 	 -0.0514182690 	 -0.0001291339 	 -0.9814581409 	 0.0000470408 	 
-0.6569791574 	 -0.6532419082 	 0.1841495924 	 -0.5897737498 	 0.6486115328 	 -0.0004684023 	 -0.6525003360 	 -0.0003798979 	 
-0.9336730350 	 -0.0269929134 	 0.1869888081 	 -0.6063065304 	 0.0267319856 	 -0.0006651527 	 -0.9279225662 	 -0.0000471382 	 
-0.4672938814 	 -0.1276409013 	 0.1182995406 	 0.2859193900 	 0.1103715254 	 -0.0001524996 	 -0.4037323694 	 -0.0000255491 	 
0.4722086728 	 -0.2014433977 	 0.1317804289 	 0.2956601506 	 0.1780036378 	 0.0002090704 	 0.4172326453 	 -0.0000822262 	 
0.7812557559 	 -0.5086751059 	 0.1906286746 	 -0.5851039074 	 0.5056376613 	 0.0005363051 	 0.7763437585 	 -0.0003015751 	 
0.9001320769 	 -0.3025043454 	 0.1860975364 	 -0.6677972890 	 0.3013100392 	 0.0006026531 	 0.8959150926 	 -0.0002024603 	 
0.8486859230 	 -0.3671442397 	 0.1867979259 	 -0.5727038133 	 0.3646641839 	 0.0005702365 	 0.8426199071 	 -0.0002734419 	 
0.3081700796 	 -0.3208298869 	 0.1312195142 	 0.3905358090 	 0.2666028946 	 0.0000900702 	 0.2561076301 	 -0.0001058681 	 
-0.4260241669 	 0.0304103066 	 0.1111275412 	 0.3311089273 	 -0.0246762413 	 -0.0000971974 	 -0.3465208504 	 -0.0000354503 	 
0.2776092753 	 -0.3251324226 	 0.1301154545 	 0.4065885874 	 0.2645703936 	 0.0000958055 	 0.2259404464 	 -0.0000844917 	 
-0.6720061587 	 0.6042345175 	 0.1903718262 	 -0.4829179370 	 -0.5986362284 	 -0.0003921494 	 -0.6655798524 	 0.0004012108 	 
0.3183570834 	 -0.2918605163 	 0.1311061355 	 0.4055494945 	 0.2389076341 	 0.0001723916 	 0.2605679447 	 -0.0000572656 	 
0.3959903439 	 -0.1818932022 	 0.1266179708 	 0.3830756092 	 0.1496065818 	 0.0001062720 	 0.3256252277 	 -0.0000085999 	 
