Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
0.3003969593 	 -0.8647738819 	 0.8578119254 	 0.2979785809 	 0.3216064847 	 170
0.3316823618 	 -0.0118143178 	 0.0078376671 	 0.2200394441 	 0.0079147059 	 171
0.3139186370 	 0.0133441519 	 -0.0082681732 	 0.1945072029 	 0.0055560706 	 172
-0.1046155288 	 -0.2289257189 	 0.0878982007 	 -0.0401681244 	 0.0007107431 	 173
-0.0178482899 	 0.2593870862 	 -0.1103167783 	 -0.0075908399 	 0.0010596330 	 174
0.7482324280 	 0.5421268977 	 -0.5382575010 	 0.7428919660 	 0.3293284682 	 175
-0.0497975341 	 -0.2821959867 	 0.1507616007 	 -0.0266040493 	 0.0027618627 	 176
-0.5841501501 	 -0.7926822990 	 0.7916459329 	 -0.5833864225 	 0.3867665017 	 177
0.2010191876 	 0.2531264269 	 -0.1627280831 	 0.1292297587 	 0.0067043270 	 178
-0.9101144261 	 -0.2299932004 	 0.2287013139 	 -0.9050022550 	 0.3428800813 	 179
-0.3311974489 	 0.8784591214 	 -0.8735331034 	 -0.3293402372 	 0.3429676092 	 180
0.7619864385 	 0.5664086549 	 -0.5638283427 	 0.7585151587 	 0.3528959714 	 181
-0.3015915244 	 0.8693115774 	 -0.8627514780 	 -0.2993156196 	 0.3258337141 	 182
0.7728541888 	 -0.5380665467 	 0.5352052533 	 0.7687443578 	 0.3456565053 	 183
0.9674826610 	 -0.1771859475 	 0.1769372979 	 0.9661249680 	 0.3856898932 	 184
-0.1127195309 	 0.2950609823 	 -0.1841255896 	 -0.0703398664 	 0.0057578535 	 185
0.1254172393 	 0.2701797719 	 -0.1545588362 	 0.0717460912 	 0.0037756359 	 186
-0.2525602945 	 0.0379204224 	 -0.0152762036 	 -0.1017436581 	 0.0008557984 	 187
0.0031587166 	 -0.2728410753 	 0.1315158651 	 0.0015225763 	 0.0017684893 	 188
-0.8491637210 	 0.4179423442 	 -0.4159157261 	 -0.8450460941 	 0.3500790156 	 189
-0.2625589853 	 -0.1341534281 	 0.0754449185 	 -0.1476573617 	 0.0034872822 	 190
0.4780495522 	 -0.7923486275 	 0.7868104427 	 0.4747081862 	 0.3306073988 	 191
-0.6939153185 	 -0.6138836966 	 0.6096633351 	 -0.6891447513 	 0.3316053873 	 192
0.4694836108 	 -0.8213267422 	 0.8173115555 	 0.4671884653 	 0.3497015435 	 193
0.5484980756 	 0.7150380470 	 -0.7081459548 	 0.5432112250 	 0.3088633818 	 194
-0.1347490476 	 -0.9301868169 	 0.9250714148 	 -0.1340080184 	 0.3439677288 	 195
0.5981351402 	 0.7220119030 	 -0.7178732726 	 0.5947065814 	 0.3418230274 	 196
-0.0120853624 	 -0.8760135753 	 0.8649592409 	 -0.0119328583 	 0.2870636794 	 197
-0.0630151866 	 0.2434149433 	 -0.0931331765 	 -0.0241102884 	 0.0007012201 	 198
-0.0311430387 	 0.9388576255 	 -0.9336452964 	 -0.0309701395 	 0.3434824909 	 199
0.5996965564 	 -0.7006593344 	 0.6955300189 	 0.5953063589 	 0.3277545346 	 200
0.6814681584 	 -0.7095712749 	 0.7085904406 	 0.6805261708 	 0.3859255781 	 201
-0.0466182939 	 0.2649353188 	 -0.1234264299 	 -0.0217182428 	 0.0015338527 	 202
-0.2329044903 	 -0.1023821269 	 0.0407412678 	 -0.0926804755 	 0.0008158740 	 203
0.2891050616 	 -0.8950899175 	 0.8902325562 	 0.2875361826 	 0.3446417423 	 204
0.1549002677 	 0.2746874685 	 -0.1710435677 	 0.0964539612 	 0.0056958028 	 205
0.0913438278 	 -0.9795425276 	 0.9781866414 	 0.0912173893 	 0.3859041442 	 206
0.9311782497 	 0.2442734243 	 -0.2434691014 	 0.9281121446 	 0.3654571254 	 207
0.9161247151 	 0.2974483794 	 -0.2964833463 	 0.9131524657 	 0.3659526668 	 208
0.9801815957 	 -0.0770487474 	 0.0769381338 	 0.9787744166 	 0.3853283771 	 209
0.1705733079 	 0.2483368612 	 -0.1446842974 	 0.0993782361 	 0.0041156520 	 210
-0.1559507066 	 0.2634491418 	 -0.1573077910 	 -0.0931195334 	 0.0046306928 	 211
-0.8446094691 	 -0.4091283782 	 0.4068203070 	 -0.8398446596 	 0.3426556517 	 212
0.0190294657 	 -0.8725923227 	 0.8612225957 	 0.0187815150 	 0.2842539733 	 213
